官译_桥名,官译_坝名,你的翻译_桥名,你的翻译_坝名
荆脊大桥,荆脊大坝,金鐘道高架橋,東涌水塘
廷伯福特大桥,廷伯福特大坝,灣仔道天橋,東涌北水塘
维尔克雷斯特大桥,维尔克雷斯特大坝,皇后大道東天橋,大嶼山水庫
西溪大桥,西溪大坝,跑馬地天橋,大嶼山北水庫
西谷大桥,西谷大坝,渣甸山隧道,梅窩水塘
白石大桥,白石渡口,大坑天橋,銀礦灣水塘
野玫瑰大桥,野玫瑰大坝,天后海旁橋,貝澳水塘
维洛米尔大桥,维洛米尔大坝,銅鑼灣東岸大橋,塘福水塘
温德米尔大桥,温德米尔大坝,北角碼頭連接橋,大澳水塘
冬溪大桥,冬溪大坝,西灣河連接橋,水口水塘
