官译_桥名,官译_坝名,你的翻译_桥名,你的翻译_坝名
克莱蒙特大桥,克莱蒙特大坝,正气大桥,江山水库
清水大桥,清水大坝,清廉大桥,云台水库
克莱德戴尔大桥,克莱德戴尔大坝,廉明大桥,翠台水库
柯本大桥,柯本大坝,福泽大桥,望台水库
科波盖特大桥,科波盖特大坝,惠民大桥,金台水库
克莱斯特米尔大桥,克莱斯特米尔大坝,惠泽大桥,银台水库
克罗斯福德大桥,克罗斯福德大坝,益民大桥,玉台水库
柏滩大桥,柏滩大坝,益农大桥,青台水库
戴文波特大桥,戴文波特大坝,兴农大桥,青铜水库
鸽林大桥,鸽林大坝,渔港大桥,朱砂水库
崔福特米尔大桥,崔福特米尔大坝,盐田大桥,玄铁水库
顿福特大桥,顿福特大坝,矿山大桥,琉璃水库
鹰山大桥,鹰山大坝,林海大桥,翡翠水库
伊斯特米尔大桥,伊斯特米尔大坝,花洲大桥,琥珀水库
缘崖大桥,缘崖大坝,绿洲大桥,珊瑚水库
榆木林大桥,榆木林大坝,沙洲大桥,白玉水库
安珀斯凯大桥,安珀斯凯大坝,芦洲大桥,碧玉水库
菲尔黑文大桥,菲尔黑文大坝,河口大桥,玉带水库
法尔克米尔大桥,法尔克米尔大坝,海门大桥,宝塔水库
芬恩克里夫大桥,芬恩克里夫大坝,江门大桥,金桂水库
菲尔德米尔大桥,法尔克米尔大坝,龙门大桥,银杏水库
弗林特盖特大桥,弗林特盖特大坝,虎门大桥,松涛水库
狐洞大桥,狐洞大坝,凤门大桥,枫林水库
弗罗斯特米尔大桥,弗罗斯特米尔大坝,榕城大桥,桃源水库
盖博伍德大桥,盖博伍德大坝,柳城大桥,杏花水库
伽顿米尔大桥,伽顿米尔大坝,梅城大桥,荷塘水库
格伦布鲁克大桥,格伦布鲁克大坝,桃城大桥,柳岸水库
金山大桥,金山大坝,杏城大桥,松岸水库
格林黑文大桥,格林黑文大坝,兰城大桥,梅岸水库
哈珀福特大桥,哈珀福特大坝,竹城大桥,桃岸水库
黑泽米尔大桥,黑泽米尔大坝,松城大桥,杏岸水库
海伯恩大桥,海伯恩大坝,枫城大桥,竹岸水库
冬青脊大桥,冬青脊大坝,海滨大桥,枫岸水库
铁岭大桥,铁岭大坝,山海大桥,东岳水库
蔷薇溪大桥,蔷薇溪大坝,江山大桥,北辰水库
玉林大桥,玉林大坝,河山大桥,南浦水库
刺柏山大桥,刺柏山大坝,高原大桥,西津水库
金斯利大桥,金斯利大坝,平原大桥,东关水库
拉克蒙特大桥,拉克蒙特大坝,田园大桥,北港水库
莱文赫斯特大桥,莱文赫斯特大坝,云台大桥,南沙水库
洛克米尔大桥,洛克米尔大坝,翠台大桥,东浜水库
朗福特大桥,朗福特大坝,望台大桥,西沣水库
木兰大桥,玉兰渡口,青台大桥,濠江水库
枫山大桥,枫山大坝,玉台大桥,潮河水库
草岭大桥,草岭大坝,金台大桥,漕运水库
玛丽格特大桥,玛丽格特大坝,银台大桥,滨江水库
雾溪大桥,雾溪大坝,朱砂大桥,滨湖水库
月山大桥,月山大坝,青铜大桥,滨溪水库
苔谷大桥,苔谷大坝,玄铁大桥,青龙水库
诺斯菲尔德大桥,诺斯菲尔德大坝,白玉大桥,白鹤水库
橡沼大桥,橡沼大坝,碧玉大桥,朱雀水库
欧克里奇大桥,欧克里奇大坝,琉璃大桥,玄武水库
欧乍得盖特大桥,欧乍得盖特大坝,珊瑚大桥,麒麟水库
观景大桥,观景大坝,翡翠大桥,貔貅水库
松沼大桥,松沼大坝,琥珀大桥,鲲鹏水库
鹌鹑林大桥,鹌鹑林大坝,星耀大桥,飞虹水库
瑞文夏尔大桥,瑞文夏尔大坝,晨曦大桥,凌云水库
雷德弗恩大桥,雷德弗恩大坝,暮色大桥,云渡水库
瑞弗盖特大桥,瑞弗盖特大坝,夜航大桥,临河水库
罗斯米尔大桥,罗斯米尔大坝,旭日大桥,望江水库
洛旺福特大桥,洛旺福特大坝,霁月大桥,清溪水库
海崖大桥,海崖大坝,清风大桥,翠岫水库
西弗米尔大桥,西弗米尔大坝,和风大桥,碧潭水库
斯盖黑文大桥,斯盖黑文大坝,流云大桥,月湾水库
南溪大桥,南溪大坝,叠浪大桥,雨花水库
春溪大桥,春溪大坝,长堤大桥,梅溪水库
斯塔林福特大桥,斯塔林福特大坝,长安大桥,竹影水库
斯通布里奇大桥,斯通布里奇大坝,永安大桥,霜华水库
风暴谷大桥,风暴谷大坝,永乐大桥,晴岚水库
萨莫黑文大桥,萨莫黑文大坝,永泰大桥,清露水库
荆脊大桥,荆脊大坝,永兴大桥,翠微水库
廷伯福特大桥,廷伯福特大坝,安澜大桥,青柏水库
维尔克雷斯特大桥,维尔克雷斯特大坝,安顺大桥,白榆水库
西溪大桥,西溪大坝,安平大桥,丹桂水库
西谷大桥,西谷大坝,安泰大桥,金泉水库
白石大桥,白石渡口,太平大桥,银泉水库
野玫瑰大桥,野玫瑰大坝,隆兴大桥,玉湖水库
维洛米尔大桥,维洛米尔大坝,隆昌大桥,凤栖岭水库
温德米尔大桥,温德米尔大坝,昌盛大桥,鹤望水库
冬溪大桥,冬溪大坝,青川大桥,澄湖水库
